"","Site","Archipelago","Island","Island_Site","Depth","Quadrat","Category","Cover"
"1","GAMMAN1","Gambier","Mangareva",1,6,1,"Fixed substrate",92
"2","GAMMAN1","Gambier","Mangareva",1,6,1,"Scleractinian_branching",5.33
"3","GAMMAN1","Gambier","Mangareva",1,6,1,"Scleractinian_encrusting",2.67
"4","GAMMAN1","Gambier","Mangareva",1,6,2,"CCA",4
"5","GAMMAN1","Gambier","Mangareva",1,6,2,"Fixed substrate",86.67
"6","GAMMAN1","Gambier","Mangareva",1,6,2,"Halimeda",1.33
"7","GAMMAN1","Gambier","Mangareva",1,6,2,"Scleractinian_branching",4
"8","GAMMAN1","Gambier","Mangareva",1,6,2,"Scleractinian_massive",4
"9","GAMMAN1","Gambier","Mangareva",1,6,3,"Fixed substrate",98.66
"10","GAMMAN1","Gambier","Mangareva",1,6,3,"Scleractinian_branching",1.33
"11","GAMMAN1","Gambier","Mangareva",1,6,4,"Fixed substrate",85.33
"12","GAMMAN1","Gambier","Mangareva",1,6,4,"Halimeda",4
"13","GAMMAN1","Gambier","Mangareva",1,6,4,"Scleractinian_branching",4
"14","GAMMAN1","Gambier","Mangareva",1,6,4,"Scleractinian_massive",6.66
"15","GAMMAN1","Gambier","Mangareva",1,6,5,"CCA",1.33
"16","GAMMAN1","Gambier","Mangareva",1,6,5,"Fixed substrate",92
"17","GAMMAN1","Gambier","Mangareva",1,6,5,"Scleractinian_branching",2.67
"18","GAMMAN1","Gambier","Mangareva",1,6,5,"Scleractinian_encrusting",2.67
"19","GAMMAN1","Gambier","Mangareva",1,6,5,"Scleractinian_massive",1.33
"20","GAMMAN1","Gambier","Mangareva",1,6,6,"CCA",1.33
"21","GAMMAN1","Gambier","Mangareva",1,6,6,"Fixed substrate",89.34
"22","GAMMAN1","Gambier","Mangareva",1,6,6,"Scleractinian_branching",6.66
"23","GAMMAN1","Gambier","Mangareva",1,6,6,"Sediment substrate",2.67
"24","GAMMAN1","Gambier","Mangareva",1,6,7,"CCA",1.33
"25","GAMMAN1","Gambier","Mangareva",1,6,7,"Fixed substrate",92
"26","GAMMAN1","Gambier","Mangareva",1,6,7,"Fleshy macroalgae",2.67
"27","GAMMAN1","Gambier","Mangareva",1,6,7,"Scleractinian_massive",4
"28","GAMMAN1","Gambier","Mangareva",1,6,8,"CCA",2.67
"29","GAMMAN1","Gambier","Mangareva",1,6,8,"Fixed substrate",78.67
"30","GAMMAN1","Gambier","Mangareva",1,6,8,"Fleshy macroalgae",6.67
"31","GAMMAN1","Gambier","Mangareva",1,6,8,"Halimeda",1.33
"32","GAMMAN1","Gambier","Mangareva",1,6,8,"Scleractinian_branching",2.67
"33","GAMMAN1","Gambier","Mangareva",1,6,8,"Scleractinian_encrusting",1.33
"34","GAMMAN1","Gambier","Mangareva",1,6,8,"Scleractinian_massive",6.67
"35","GAMMAN1","Gambier","Mangareva",1,6,9,"CCA",4
"36","GAMMAN1","Gambier","Mangareva",1,6,9,"Fixed substrate",77.33
"37","GAMMAN1","Gambier","Mangareva",1,6,9,"Fleshy macroalgae",4
"38","GAMMAN1","Gambier","Mangareva",1,6,9,"Halimeda",4
"39","GAMMAN1","Gambier","Mangareva",1,6,9,"Scleractinian_branching",8
"40","GAMMAN1","Gambier","Mangareva",1,6,9,"Scleractinian_encrusting",1.33
"41","GAMMAN1","Gambier","Mangareva",1,6,9,"Scleractinian_massive",1.33
"42","GAMMAN1","Gambier","Mangareva",1,6,10,"CCA",2.67
"43","GAMMAN1","Gambier","Mangareva",1,6,10,"Fixed substrate",89.33
"44","GAMMAN1","Gambier","Mangareva",1,6,10,"Fleshy macroalgae",1.33
"45","GAMMAN1","Gambier","Mangareva",1,6,10,"Scleractinian_branching",2.67
"46","GAMMAN1","Gambier","Mangareva",1,6,10,"Scleractinian_encrusting",4
"47","GAMMAN1","Gambier","Mangareva",1,6,11,"CCA",4
"48","GAMMAN1","Gambier","Mangareva",1,6,11,"Cnidaria (non Scleractinian)",41.33
"49","GAMMAN1","Gambier","Mangareva",1,6,11,"Fixed substrate",49.33
"50","GAMMAN1","Gambier","Mangareva",1,6,11,"Scleractinian_branching",2.67
"51","GAMMAN1","Gambier","Mangareva",1,6,11,"Scleractinian_massive",2.66
"52","GAMMAN1","Gambier","Mangareva",1,6,12,"CCA",4
"53","GAMMAN1","Gambier","Mangareva",1,6,12,"Fixed substrate",80
"54","GAMMAN1","Gambier","Mangareva",1,6,12,"Fleshy macroalgae",4
"55","GAMMAN1","Gambier","Mangareva",1,6,12,"Halimeda",5.33
"56","GAMMAN1","Gambier","Mangareva",1,6,12,"Scleractinian_branching",2.66
"57","GAMMAN1","Gambier","Mangareva",1,6,12,"Scleractinian_massive",4
"58","GAMMAN1","Gambier","Mangareva",1,6,13,"Fixed substrate",77.34
"59","GAMMAN1","Gambier","Mangareva",1,6,13,"Scleractinian_encrusting",20
"60","GAMMAN1","Gambier","Mangareva",1,6,13,"Scleractinian_massive",2.67
"61","GAMMAN1","Gambier","Mangareva",1,6,14,"Fixed substrate",74.67
