"","Scleractinian_branching","Scleractinian_encrusting","Scleractinian_massive","Scleractinian_laminar","Scleractinian_solitary","Gorgonia","Black_coral","Hydroids","CCA","Cnidaria (non Scleractinian)","Sponges","Fleshy macroalgae","Crustose algae","Halimeda","Others"
"6_GAMMAN1_1",5.33,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0
"6_GAMMAN1_2",4,0,4,0,0,0,0,0,4,0,0,0,0,1.33,0
"6_GAMMAN1_3",1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6_GAMMAN1_4",4,0,6.66,0,0,0,0,0,0,0,0,0,0,4,0
"6_GAMMAN1_5",2.67,2.67,1.33,0,0,0,0,0,1.33,0,0,0,0,0,0
"6_GAMMAN1_6",6.66,0,0,0,0,0,0,0,1.33,0,0,0,0,0,0
"6_GAMMAN1_7",0,0,4,0,0,0,0,0,1.33,0,0,2.67,0,0,0
"6_GAMMAN1_8",2.67,1.33,6.67,0,0,0,0,0,2.67,0,0,6.67,0,1.33,0
"6_GAMMAN1_9",8,1.33,1.33,0,0,0,0,0,4,0,0,4,0,4,0
"6_GAMMAN1_10",2.67,4,0,0,0,0,0,0,2.67,0,0,1.33,0,0,0
"6_GAMMAN1_11",2.67,0,2.66,0,0,0,0,0,4,41.33,0,0,0,0,0
"6_GAMMAN1_12",2.66,0,4,0,0,0,0,0,4,0,0,4,0,5.33,0
"6_GAMMAN1_13",0,20,2.67,0,0,0,0,0,0,0,0,0,0,0,0
"6_GAMMAN1_14",5.33,17.33,1.33,0,0,0,0,0,0,0,0,0,0,0,1.33
"6_GAMMAN1_15",0,32,2.67,0,0,0,0,0,0,0,0,1.33,0,0,0
"6_GAMMAN1_16",1.33,0,0,0,0,0,0,0,5.33,0,0,0,0,1.33,0
"6_GAMMAN1_17",1.33,2.67,4,0,0,0,0,0,2.67,0,0,2.67,0,0,0
"6_GAMMAN1_18",6.67,0,5.33,0,0,0,0,0,6.67,0,0,10.67,0,0,0
"6_GAMMAN1_19",12,0,4,0,0,0,0,0,0,0,0,5.33,0,0,0
"6_GAMMAN1_20",0,2.67,0,0,0,0,0,0,1.33,0,0,0,0,0,0
"6_GAMMAN1_21",2.67,0,0,0,0,0,0,0,1.33,0,0,1.33,0,0,0
"6_GAMMAN1_22",12,1.33,0,0,0,0,0,0,1.33,0,0,0,0,0,0
"6_GAMMAN1_23",10.67,0,1.33,0,0,0,0,0,8,0,0,0,0,4,0
